playerID,club_name,is_active
190871,Paris Saint-Germain,1
200389,Atlético Madrid,1
192985,Manchester City,1
231747,Paris Saint-Germain,1
153079,Manchester City,1
188545,FC Bayern München,1
210257,Manchester City,1
202652,Manchester City,1
167495,FC Bayern München,1
168542,Manchester City,1
179813,Paris Saint-Germain,1
212218,Manchester City,1
218667,Manchester City,1
135507,Manchester City,1
164240,Paris Saint-Germain,1
189509,FC Bayern München,1
222492,Manchester City,1
207865,Paris Saint-Germain,1
199556,Paris Saint-Germain,1
212622,FC Bayern München,1
183898,Paris Saint-Germain,1
189242,FC Bayern München,1
189596,FC Bayern München,1
212190,FC Bayern München,1
231866,Manchester City,1
208421,Atlético Madrid,1
216460,Atlético Madrid,1
199482,Olympique Lyonnais,1
185122,RB Leipzig,1
197445,FC Bayern München,1
143076,Atalanta,1
193747,Atlético Madrid,1
210514,Manchester City,1
220814,FC Bayern München,1
202556,Olympique Lyonnais,1
209658,FC Bayern München,1
213345,FC Bayern München,1
206113,FC Bayern München,1
177610,FC Bayern München,1
181458,FC Bayern München,1
183907,FC Bayern München,1
186942,Manchester City,1
188377,Manchester City,1
200647,Atalanta,1
204485,Manchester City,1
207863,Atlético Madrid,1
219683,FC Bayern München,1
203574,Manchester City,1
212188,RB Leipzig,1
213565,Atlético Madrid,1
202166,Paris Saint-Germain,1
201153,Atlético Madrid,1
198950,Paris Saint-Germain,1
179844,Atlético Madrid,1
192366,Manchester City,1
193474,Paris Saint-Germain,1
195365,RB Leipzig,1
230666,Manchester City,1
225850,Paris Saint-Germain,1
193105,Paris Saint-Germain,1
214997,Atlético Madrid,1
209989,Atlético Madrid,1
204639,Atlético Madrid,1
208448,RB Leipzig,1
156519,Atlético Madrid,1
191740,Paris Saint-Germain,1
202371,Paris Saint-Germain,1
215333,Atalanta,1
234906,Olympique Lyonnais,1
204923,RB Leipzig,1
204638,RB Leipzig,1
207791,RB Leipzig,1
213874,Olympique Lyonnais,1
178086,Atlético Madrid,1
242444,Atlético Madrid,1
229668,Atlético Madrid,1
226161,Atlético Madrid,1
204884,Manchester City,1
211591,Olympique Lyonnais,1
207439,Paris Saint-Germain,1
205069,Paris Saint-Germain,1
210665,RB Leipzig,1
186345,Atlético Madrid,1
199110,Atalanta,1
203890,Atlético Madrid,1
237678,RB Leipzig,1
226229,Paris Saint-Germain,1
220182,Olympique Lyonnais,1
222331,RB Leipzig,1
225711,Paris Saint-Germain,1
226851,FC Bayern München,1
220651,Manchester City,1
216643,Olympique Lyonnais,1
231969,Atalanta,1
204259,Atlético Madrid,1
166706,Atalanta,1
185431,Atlético Madrid,1
186569,FC Bayern München,1
199715,Atlético Madrid,1
201325,Olympique Lyonnais,1
224221,Olympique Lyonnais,1
227813,Manchester City,1
227234,Olympique Lyonnais,1
207948,Olympique Lyonnais,1
220093,Atalanta,1
187598,Atalanta,1
202024,Atalanta,1
202325,RB Leipzig,1
169115,Atalanta,1
180334,Olympique Lyonnais,1
189681,Olympique Lyonnais,1
208461,Atalanta,1
229558,RB Leipzig,1
226166,RB Leipzig,1
232411,RB Leipzig,1
251573,Atlético Madrid,1
223273,Atalanta,1
225375,RB Leipzig,1
216266,Olympique Lyonnais,1
201510,Paris Saint-Germain,1
174543,Manchester City,1
207707,Olympique Lyonnais,1
216065,Atalanta,1
217196,Atalanta,1
237692,Manchester City,1
230899,RB Leipzig,1
232999,RB Leipzig,1
222501,Atalanta,1
211515,Atalanta,1
236786,Olympique Lyonnais,1
238463,RB Leipzig,1
225713,RB Leipzig,1
206003,RB Leipzig,1
215798,Olympique Lyonnais,1
223697,Atalanta,1
183569,Paris Saint-Germain,1
230767,FC Bayern München,1
222160,Olympique Lyonnais,1
240976,RB Leipzig,1
202515,Paris Saint-Germain,1
228813,Manchester City,1
236935,RB Leipzig,1
240243,RB Leipzig,1
228509,Olympique Lyonnais,1
194665,RB Leipzig,1
208165,Atalanta,1
158777,RB Leipzig,1
181560,Olympique Lyonnais,1
234396,FC Bayern München,1
239744,FC Bayern München,1
241497,Paris Saint-Germain,1
157804,Manchester City,1
235863,Atalanta,1
251217,Olympique Lyonnais,1
242374,Atalanta,1
246646,Olympique Lyonnais,1
240753,Olympique Lyonnais,1
244938,Atlético Madrid,1
241941,Paris Saint-Germain,1
239613,Atalanta,1
222355,Atalanta,1
232207,Atlético Madrid,1
235735,RB Leipzig,1
239981,FC Bayern München,1
248603,Paris Saint-Germain,1
242238,Olympique Lyonnais,1
245037,Manchester City,1
245035,Manchester City,1
239368,Paris Saint-Germain,1
234760,Atalanta,1
245999,Atlético Madrid,1
248805,Atlético Madrid,1
243652,Atlético Madrid,1
247508,Paris Saint-Germain,1
241128,Atlético Madrid,1
248385,Atalanta,1
252326,Atlético Madrid,1
241588,Atlético Madrid,1
245842,Olympique Lyonnais,1
243080,Atlético Madrid,1
247257,Atalanta,1
222488,Atalanta,1
252324,Atlético Madrid,1
247865,RB Leipzig,1
241859,FC Bayern München,1
229194,Paris Saint-Germain,1
245809,Olympique Lyonnais,1
248604,Paris Saint-Germain,1
243847,Olympique Lyonnais,1
246863,Manchester City,1
246848,Olympique Lyonnais,1
247871,Paris Saint-Germain,1
246402,RB Leipzig,1
241495,Paris Saint-Germain,1
243573,Olympique Lyonnais,1
235293,Atalanta,1
243239,Manchester City,1
243308,Atlético Madrid,1
251392,RB Leipzig,1
252258,RB Leipzig,1
234401,Paris Saint-Germain,1
243710,Paris Saint-Germain,1
233047,Manchester City,1
238186,Paris Saint-Germain,1
241632,Manchester City,1
246401,RB Leipzig,1
194894,Atalanta,1
243585,Manchester City,1
251451,RB Leipzig,1
240473,Manchester City,1
252298,RB Leipzig,1
224947,Manchester City,1
158023,FC Barcelona,1
192448,FC Barcelona,1
176580,FC Barcelona,1
189511,FC Barcelona,1
194765,FC Barcelona,1
152729,FC Barcelona,1
189332,FC Barcelona,1
205600,FC Barcelona,1
168651,FC Barcelona,1
228702,FC Barcelona,1
220440,FC Barcelona,1
194404,FC Barcelona,1
231443,FC Barcelona,1
230658,FC Barcelona,1
181872,FC Barcelona,1
227928,FC Barcelona,1
199564,FC Barcelona,1
201400,FC Barcelona,1
241184,FC Barcelona,1
233113,FC Barcelona,1
242816,FC Barcelona,1
245388,FC Barcelona,1
237156,FC Barcelona,1
237823,FC Barcelona,1
240683,FC Barcelona,1
239250,FC Barcelona,1
239249,FC Barcelona,1
240654,FC Barcelona,1
240915,FC Barcelona,1
241810,FC Barcelona,1
242999,FC Barcelona,1
237522,FC Barcelona,1
246139,FC Barcelona,1
244260,RB Leipzig,1
